"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 1.260,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.26,1530648.98569527,1834793.76510992,2667210.24350512,1258208.60875467,1862894.66394198
Fmult(2017) = 1.270,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.27,1537644.82612829,1832426.05380601,2667210.24350512,1252535.62986176,1856995.94618309
Fmult(2017) = 1.280,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.28,1544589.24132933,1830062.27794118,2667210.24350512,1246911.07284974,1851141.24538008
Fmult(2017) = 1.290,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.29,1551482.71485811,1827702.43047957,2667210.24350512,1241334.40459394,1845330.13960047
Fmult(2017) = 1.300,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.3,1558325.72538655,1825346.50439822,2667210.24350512,1235805.09832646,1839562.21123464
Fmult(2017) = 1.310,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.31,1565118.74674972,1822994.49268709,2667210.24350512,1230322.6335579,1833837.04695032
Fmult(2017) = 1.320,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.32,1571862.24799634,1820646.38834904,2667210.24350512,1224886.49600009,1828154.23764757
Fmult(2017) = 1.330,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.33,1578556.69343867,1818302.18439976,2667210.24350512,1219496.1774898,1822513.37841416
Fmult(2017) = 1.340,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.34,1585202.54270192,1815961.87386778,2667210.24350512,1214151.17591341,1816914.06848154
Fmult(2017) = 1.350,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.35,1591800.25077312,1813625.44979446,2667210.24350512,1208850.9951325,1811355.91118123
Fmult(2017) = 1.360,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.36,1598350.26804944,1811292.90523391,2667210.24350512,1203595.14491041,1805838.51390166
Fmult(2017) = 1.370,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.37,1604853.04038605,1808964.23325302,2667210.24350512,1198383.14083967,1800361.48804549
Fmult(2017) = 1.380,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.38,1611309.00914346,1806639.42693144,2667210.24350512,1193214.50427036,1794924.44898741
Fmult(2017) = 1.390,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.39,1617718.61123426,1804318.47936149,2667210.24350512,1188088.76223943,1789527.01603236
